,ALDI,ASDA,COSTCO,FARMFOODS,HERON,ICELAND,JACK FULTONS,LIDL,MAKRO,MARKS AND SPENCER,MORRISONS,SAINSBURYS,SPAR,TESCO,THE CO-OPERATIVE GROUP,WAITROSE,,SUM
Predicted,7.67,14.01,0.35,0.33,0.32,2.30,1.27,6.04,0.38,3.11,10.25,15.62,0.35,26.93,6.28,4.78,,100
Observed,7.7,14.1,0.3,0.1,0.4,2.4,0.7,6.2,0.3,3.1,10.3,15.7,0.5,27,6.3,4.9,,100
Alpha,1.153,1.012,0.93,0.93,0.96,1.102,0.9,1.15,0.92,1.025,1.044,1.094,0.99,1.182,1.096,1.17,,-
Observed - Predicted,-0.03,-0.09,0.05,0.23,-0.08,-0.10,0.57,-0.16,0.08,0.01,-0.05,-0.08,-0.15,-0.07,-0.02,-0.12,,0.00
Difference Squared,0.00,0.01,0.00,0.05,0.01,0.01,0.32,0.03,0.01,0.00,0.00,0.01,0.02,0.01,0.00,0.02,,0.49
,,,,,,,,,,,,,,,,,,
,"(Kantar, 2020)",,,,,,,,,,,,,,,,,
,Brand Attractiveness controlled by Alpha 0.9 > A > 1.1,,,,,,,,,,,,,,,,,
