Retailer,Alpha Value
Aldi,1.153
Asda,1.012
Costco,0.93
Farmfoods,0.93
Heron,0.96
Iceland,1.102
Jack Fultons,0.9
Lidl,1.15
Makro,0.92
Marks and Spencer,1.025
Morrisons,1.044
Sainsburys,1.094
Spar,0.99
Tesco,1.182
The Co-operative Group,1.096
Waitrose,1.17
